loss,acc,recall,precision,auc,true_positives,true_negatives,false_negatives,false_positives,val_loss,val_acc,val_recall,val_precision,val_auc,val_true_positives,val_true_negatives,val_false_negatives,val_false_positives
2.0643813610076904,0.29374998807907104,0.15321429073810577,0.3986988961696625,0.675567090511322,858.0,32306.0,4742.0,1294.0,1.9889918565750122,0.14499999582767487,0.0,0.0,0.558463990688324,0.0,8400.0,1400.0,0.0
1.6506105661392212,0.37660714983940125,0.20232142508029938,0.5634012818336487,0.7628243565559387,1133.0,32722.0,4467.0,878.0,1.8702328205108643,0.2014285773038864,0.0,0.0,0.6151429414749146,0.0,8400.0,1400.0,0.0
1.4897156953811646,0.43089285492897034,0.25285714864730835,0.6477584838867188,0.8079694509506226,1416.0,32830.0,4184.0,770.0,1.7648749351501465,0.2692857086658478,0.02142857201397419,0.7894737124443054,0.6828153133392334,30.0,8392.0,1370.0,8.0
1.3768030405044556,0.4694642722606659,0.292678564786911,0.6733771562576294,0.8350068926811218,1639.0,32805.0,3961.0,795.0,1.786463975906372,0.29357144236564636,0.1371428519487381,0.5533141493797302,0.6976689100265503,192.0,8245.0,1208.0,155.0
1.310109257698059,0.5066071152687073,0.32124999165534973,0.7057669758796692,0.851464569568634,1799.0,32850.0,3801.0,750.0,1.4350885152816772,0.45642855763435364,0.18357142806053162,0.7740963697433472,0.8173454999923706,257.0,8325.0,1143.0,75.0
1.2431132793426514,0.5216071605682373,0.34089285135269165,0.7165915966033936,0.8678944110870361,1909.0,32845.0,3691.0,755.0,1.4958513975143433,0.4099999964237213,0.1899999976158142,0.7018469572067261,0.7992385625839233,266.0,8287.0,1134.0,113.0
1.1693181991577148,0.5546428561210632,0.37339285016059875,0.7341994643211365,0.8837205171585083,2091.0,32843.0,3509.0,757.0,1.2431434392929077,0.508571445941925,0.32357141375541687,0.7282958030700684,0.8641235828399658,453.0,8231.0,947.0,169.0
1.1079919338226318,0.5746428370475769,0.4017857015132904,0.737463116645813,0.8959469199180603,2250.0,32799.0,3350.0,801.0,1.6632298231124878,0.3628571331501007,0.17642857134342194,0.5825471878051758,0.7595106959342957,247.0,8223.0,1153.0,177.0
1.0578408241271973,0.5973214507102966,0.4303571283817291,0.758577287197113,0.9053938984870911,2410.0,32833.0,3190.0,767.0,4.050732612609863,0.14428570866584778,0.14428570866584778,0.147230327129364,0.5697230696678162,202.0,7230.0,1198.0,1170.0
1.0294169187545776,0.6078571677207947,0.44553571939468384,0.7784711122512817,0.9105294942855835,2495.0,32890.0,3105.0,710.0,1.3873209953308105,0.4992857277393341,0.3557142913341522,0.7366864085197449,0.844723641872406,498.0,8222.0,902.0,178.0
0.9654269814491272,0.628928542137146,0.48625001311302185,0.7786674499511719,0.9215062856674194,2723.0,32826.0,2877.0,774.0,1.2870663404464722,0.5178571343421936,0.386428564786911,0.6891719698905945,0.8580296039581299,541.0,8156.0,859.0,244.0
0.9549587368965149,0.6414285898208618,0.49892857670783997,0.7767584323883057,0.9229563474655151,2794.0,32797.0,2806.0,803.0,1.311287760734558,0.49642857909202576,0.38428571820259094,0.6641975045204163,0.8552642464637756,538.0,8128.0,862.0,272.0
0.8695608973503113,0.6719642877578735,0.5321428775787354,0.7991418838500977,0.9367177486419678,2980.0,32851.0,2620.0,749.0,0.9099817872047424,0.6564285755157471,0.5171428322792053,0.801771879196167,0.9298657774925232,724.0,8221.0,676.0,179.0
0.8658230900764465,0.6748214364051819,0.543571412563324,0.802954375743866,0.9370684027671814,3044.0,32853.0,2556.0,747.0,1.1340376138687134,0.6100000143051147,0.46714285016059875,0.7712264060974121,0.8931342959403992,654.0,8206.0,746.0,194.0
0.7815093994140625,0.7058928608894348,0.583392858505249,0.8048780560493469,0.9487759470939636,3267.0,32808.0,2333.0,792.0,1.8043276071548462,0.42571428418159485,0.3385714292526245,0.462890625,0.8030786514282227,474.0,7850.0,926.0,550.0
0.7625346779823303,0.7146428823471069,0.6069642901420593,0.811992347240448,0.9509049654006958,3399.0,32813.0,2201.0,787.0,1.143315315246582,0.581428587436676,0.4571428596973419,0.6859592795372009,0.8949176669120789,640.0,8107.0,760.0,293.0
0.7139355540275574,0.7305356860160828,0.637499988079071,0.8246708512306213,0.9569648504257202,3570.0,32841.0,2030.0,759.0,0.8923362493515015,0.6642857193946838,0.5278571248054504,0.8050109148025513,0.9329787492752075,739.0,8221.0,661.0,179.0
0.6856076717376709,0.7442857027053833,0.6517857313156128,0.8278521299362183,0.9602470397949219,3650.0,32841.0,1950.0,759.0,0.837689220905304,0.7135714292526245,0.581428587436676,0.8222222328186035,0.9411139488220215,814.0,8224.0,586.0,176.0
0.6684600114822388,0.753928542137146,0.6675000190734863,0.8315906524658203,0.9618199467658997,3738.0,32843.0,1862.0,757.0,1.457218050956726,0.4635714292526245,0.31785714626312256,0.6412103772163391,0.8164929747581482,445.0,8151.0,955.0,249.0
0.629518449306488,0.7674999833106995,0.6930357217788696,0.8442462682723999,0.9660935997962952,3881.0,32884.0,1719.0,716.0,1.0630731582641602,0.6235714554786682,0.543571412563324,0.7261450290679932,0.9108239412307739,761.0,8113.0,639.0,287.0
0.6040297150611877,0.7741071581840515,0.7007142901420593,0.8473331928253174,0.969045102596283,3924.0,32893.0,1676.0,707.0,1.3480473756790161,0.6071428656578064,0.5078571438789368,0.6707547307014465,0.886175811290741,711.0,8051.0,689.0,349.0
